GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
0500000US01001,01001,"Autauga County, Alabama",54571
0500000US01003,01003,"Baldwin County, Alabama",182265
0500000US01005,01005,"Barbour County, Alabama",27457
0500000US01007,01007,"Bibb County, Alabama",22915
0500000US01009,01009,"Blount County, Alabama",57322
0500000US01011,01011,"Bullock County, Alabama",10914
0500000US01013,01013,"Butler County, Alabama",20947
0500000US01015,01015,"Calhoun County, Alabama",118572
0500000US01017,01017,"Chambers County, Alabama",34215
0500000US01019,01019,"Cherokee County, Alabama",25989
0500000US01021,01021,"Chilton County, Alabama",43643
0500000US01023,01023,"Choctaw County, Alabama",13859
0500000US01025,01025,"Clarke County, Alabama",25833
0500000US01027,01027,"Clay County, Alabama",13932
0500000US01029,01029,"Cleburne County, Alabama",14972
0500000US01031,01031,"Coffee County, Alabama",49948
0500000US01033,01033,"Colbert County, Alabama",54428
0500000US01035,01035,"Conecuh County, Alabama",13228
0500000US01037,01037,"Coosa County, Alabama",11539
0500000US01039,01039,"Covington County, Alabama",37765
0500000US01041,01041,"Crenshaw County, Alabama",13906
0500000US01043,01043,"Cullman County, Alabama",80406
0500000US01045,01045,"Dale County, Alabama",50251
0500000US01047,01047,"Dallas County, Alabama",43820
0500000US01049,01049,"DeKalb County, Alabama",71109
0500000US01051,01051,"Elmore County, Alabama",79303
0500000US01053,01053,"Escambia County, Alabama",38319
0500000US01055,01055,"Etowah County, Alabama",104430
0500000US01057,01057,"Fayette County, Alabama",17241
0500000US01059,01059,"Franklin County, Alabama",31704
0500000US01061,01061,"Geneva County, Alabama",26790
0500000US01063,01063,"Greene County, Alabama",9045
0500000US01065,01065,"Hale County, Alabama",15760
0500000US01067,01067,"Henry County, Alabama",17302
0500000US01069,01069,"Houston County, Alabama",101547
0500000US01071,01071,"Jackson County, Alabama",53227
0500000US01073,01073,"Jefferson County, Alabama",658466(r35866)
0500000US01075,01075,"Lamar County, Alabama",14564
0500000US01077,01077,"Lauderdale County, Alabama",92709
