GEOID,GEOID2,SUMLEV,NAME,county,state_old,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,HC01_VC03,state_new
05000US01001,1001,50,"Autauga County, Alabama",Autauga,Alabama,54571,54571,54742,55255,55027,54792,54977,55035,"55,416","55,036",DX
05000US01003,1003,50,"Baldwin County, Alabama",Baldwin,Alabama,182265,182265,183199,186653,190403,195147,199745,203690,"208,563","203,360",DX
05000US01005,1005,50,"Barbour County, Alabama",Barbour,Alabama,27457,27457,27348,27326,27132,26938,26763,26270,"25,965","26,201",DX
05000US01007,1007,50,"Bibb County, Alabama",Bibb,Alabama,22915,22919,22861,22736,22645,22501,22511,22561,"22,643","22,580",DX
05000US01009,1009,50,"Blount County, Alabama",Blount,Alabama,57322,57324,57376,57707,57772,57746,57621,57676,"57,704","57,667",BN
05000US01011,1011,50,"Bullock County, Alabama",Bullock,Alabama,10914,10911,10892,10722,10654,10576,10712,10455,"10,362","10,478",DX
05000US01013,1013,50,"Butler County, Alabama",Butler,Alabama,20947,20946,20938,20848,20665,20330,20283,20126,"19,998","20,126",DX
05000US01015,1015,50,"Calhoun County, Alabama",Calhoun,Alabama,118572,118586,118468,117736,117208,116475,115837,115285,"114,611","115,527",BN
05000US01017,1017,50,"Chambers County, Alabama",Chambers,Alabama,34215,34170,34101,34006,34084,34123,33996,34043,"33,843","33,895",DX
05000US01019,1019,50,"Cherokee County, Alabama",Cherokee,Alabama,25989,25986,25977,26073,26017,26074,25944,25726,"25,725","25,855",BN
05000US01021,1021,50,"Chilton County, Alabama",Chilton,Alabama,43643,43631,43675,43758,43693,43769,43874,43809,"43,941","43,805",DX
05000US01023,1023,50,"Choctaw County, Alabama",Choctaw,Alabama,13859,13858,13840,13610,13549,13384,13310,13201,"12,993","13,188",DX
05000US01025,1025,50,"Clarke County, Alabama",Clarke,Alabama,25833,25833,25762,25549,25148,25105,24862,24726,"24,392","24,625",DX
