16000US0600562,"Alameda city, California"
16000US0600884,"Alhambra city, California"
16000US0602000,"Anaheim city, California"
16000US0602252,"Antioch city, California"
16000US0602364,"Apple Valley town, California"
16000US0602553,"Arden-Arcade CDP, California"
16000US0603526,"Bakersfield city, California"
16000US0603666,"Baldwin Park city, California"
16000US0604982,"Bellflower city, California"
16000US0606000,"Berkeley city, California"
16000US0608786,"Buena Park city, California"
16000US0608954,"Burbank city, California"
16000US0610046,"Camarillo city, California"
16000US0611194,"Carlsbad city, California"
16000US0611390,"Carmichael CDP, California"
16000US0611530,"Carson city, California"
16000US0611964,"Castro Valley CDP, California"
16000US0613014,"Chico city, California"
16000US0613210,"Chino city, California"
16000US0613214,"Chino Hills city, California"
16000US0613392,"Chula Vista city, California"
16000US0613588,"Citrus Heights city, California"
16000US0614218,"Clovis city, California"
16000US0615044,"Compton city, California"
16000US0616000,"Concord city, California"
16000US0616350,"Corona city, California"
16000US0616532,"Costa Mesa city, California"
16000US0617918,"Daly City city, California"
16000US0618100,"Davis city, California"
16000US0619766,"Downey city, California"
16000US0620802,"East Los Angeles CDP, California"
16000US0621712,"El Cajon city, California"
16000US0622020,"Elk Grove city, California"
16000US0622230,"El Monte city, California"
16000US0622804,"Escondido city, California"
16000US0623182,"Fairfield city, California"
16000US0624477,"Florence-Graham CDP, California"
16000US0624638,"Folsom city, California"
16000US0624680,"Fontana city, California"
16000US0626000,"Fremont city, California"
16000US0627000,"Fresno city, California"
16000US0628000,"Fullerton city, California"
16000US0629000,"Garden Grove city, California"
16000US0630000,"Glendale city, California"
16000US0632548,"Hawthorne city, California"
16000US0633000,"Hayward city, California"
16000US0633182,"Hemet city, California"
16000US0633434,"Hesperia city, California"
16000US0636000,"Huntington Beach city, California"
16000US0636448,"Indio city, California"
16000US0636546,"Inglewood city, California"
16000US0636770,"Irvine city, California"
16000US0637692,"Jurupa Valley city, California"
16000US0639248,"Laguna Niguel city, California"
16000US0639496,"Lake Forest city, California"
16000US0639892,"Lakewood city, California"
16000US0640130,"Lancaster city, California"
16000US0641992,"Livermore city, California"
16000US0643000,"Long Beach city, California"
16000US0644000,"Los Angeles city, California"
16000US0644574,"Lynwood city, California"
16000US0645484,"Manteca city, California"
16000US0646842,"Menifee city, California"
16000US0646898,"Merced city, California"
16000US0647766,"Milpitas city, California"
16000US0648256,"Mission Viejo city, California"
16000US0648354,"Modesto city, California"
16000US0649270,"Moreno Valley city, California"
16000US0649670,"Mountain View city, California"
16000US0650076,"Murrieta city, California"
16000US0650258,"Napa city, California"
16000US0651182,"Newport Beach city, California"
16000US0652526,"Norwalk city, California"
16000US0653000,"Oakland city, California"
16000US0653322,"Oceanside city, California"
16000US0653896,"Ontario city, California"
16000US0653980,"Orange city, California"
16000US0654652,"Oxnard city, California"
16000US0655156,"Palmdale city, California"
16000US0655282,"Palo Alto city, California"
16000US0656000,"Pasadena city, California"
16000US0656700,"Perris city, California"
16000US0657456,"Pittsburg city, California"
16000US0657792,"Pleasanton city, California"
16000US0658072,"Pomona city, California"
16000US0659444,"Rancho Cordova city, California"
16000US0659451,"Rancho Cucamonga city, California"
16000US0659920,"Redding city, California"
16000US0659962,"Redlands city, California"
16000US0660018,"Redondo Beach city, California"
16000US0660102,"Redwood City city, California"
16000US0660466,"Rialto city, California"
16000US0660620,"Richmond city, California"
16000US0662000,"Riverside city, California"
16000US0662938,"Roseville city, California"
16000US0664000,"Sacramento city, California"
16000US0664224,"Salinas city, California"
16000US0665000,"San Bernardino city, California"
16000US0665042,"San Buenaventura (Ventura) city, California"
16000US0665084,"San Clemente city, California"
16000US0666000,"San Diego city, California"
16000US0667000,"San Francisco city, California"
16000US0668000,"San Jose city, California"
16000US0668084,"San Leandro city, California"
16000US0668196,"San Marcos city, California"
16000US0668252,"San Mateo city, California"
16000US0668378,"San Ramon city, California"
16000US0669000,"Santa Ana city, California"
16000US0669070,"Santa Barbara city, California"
16000US0669084,"Santa Clara city, California"
16000US0669088,"Santa Clarita city, California"
16000US0669196,"Santa Maria city, California"
16000US0670000,"Santa Monica city, California"
16000US0670098,"Santa Rosa city, California"
16000US0672016,"Simi Valley city, California"
16000US0673080,"South Gate city, California"
16000US0673262,"South San Francisco city, California"
16000US0675000,"Stockton city, California"
16000US0677000,"Sunnyvale city, California"
16000US0678120,"Temecula city, California"
16000US0678582,"Thousand Oaks city, California"
16000US0680000,"Torrance city, California"
16000US0680238,"Tracy city, California"
16000US0680812,"Turlock city, California"
16000US0680854,"Tustin city, California"
16000US0681204,"Union City city, California"
16000US0681344,"Upland city, California"
16000US0681554,"Vacaville city, California"
16000US0681666,"Vallejo city, California"
16000US0682590,"Victorville city, California"
16000US0682954,"Visalia city, California"
16000US0682996,"Vista city, California"
16000US0683346,"Walnut Creek city, California"
16000US0684200,"West Covina city, California"
16000US0684550,"Westminster city, California"
16000US0685292,"Whittier city, California"
16000US0686832,"Yorba Linda city, California"
16000US0686972,"Yuba City city, California"
