,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
9953,157,17,31,1010,0,0,0,A,Alsip village,Illinois,19277,19271,19286,19338,19395,19421,19393,19290,19158
9954,157,17,31,2154,0,0,0,A,Arlington Heights village,Illinois,75101,75089,75162,75376,75725,75897,75903,75713,75525
9955,157,17,31,3844,0,0,0,A,Barrington village (pt.),Illinois,5631,5626,5630,5644,5660,5670,5676,5666,5642
9956,157,17,31,3883,0,0,0,A,Barrington Hills village (pt.),Illinois,2168,2169,2172,2180,2188,2196,2206,2199,2187
9957,157,17,31,4013,0,0,0,A,Bartlett village (pt.),Illinois,16797,16775,16789,16830,16872,16890,16863,16788,16679
9958,157,17,31,4572,0,0,0,A,Bedford Park village,Illinois,580,589,590,589,589,587,584,585,582
9959,157,17,31,4975,0,0,0,A,Bellwood village,Illinois,19071,19055,19069,19101,19129,19138,19108,19242,19107
9960,157,17,31,5248,0,0,0,A,Bensenville village (pt.),Illinois,0,0,0,0,0,0,0,0,0
9961,157,17,31,5404,0,0,0,A,Berkeley village,Illinois,5209,5207,5210,5220,5227,5230,5221,5188,5148
9962,157,17,31,5573,0,0,0,A,Berwyn city,Illinois,56657,56653,56681,56740,56786,56776,56608,56218,55748
9963,157,17,31,6704,0,0,0,A,Blue Island city,Illinois,23706,23701,23724,23782,23808,23810,23746,23588,23401
9964,157,17,31,8225,0,0,0,A,Bridgeview village,Illinois,16446,16444,16459,16492,16508,16508,16467,16365,16248
9965,157,17,31,8446,0,0,0,A,Broadview village,Illinois,7932,7919,7923,7937,7949,7953,7934,7884,7823
9966,157,17,31,8576,0,0,0,A,Brookfield village,Illinois,18978,18974,18984,19010,19032,19034,18992,18891,18753
9967,157,17,31,9447,0,0,0,A,Buffalo Grove village (pt.),Illinois,13644,13656,13670,13747,13789,13821,13807,13738,13664
9968,157,17,31,9642,0,0,0,A,Burbank city,Illinois,28925,28925,28947,29034,29116,29185,29174,29050,28886
9969,157,17,31,9798,0,0,0,A,Burnham village,Illinois,4206,4206,4213,4223,4229,4232,4224,4199,4170
9970,157,17,31,9980,0,0,0,A,Burr Ridge village (pt.),Illinois,3840,3851,3855,3877,3893,3908,3914,3918,3917
9971,157,17,31,10487,0,0,0,A,Calumet City city,Illinois,37042,37116,37152,37224,37286,37311,37232,37008,36732
9972,157,17,31,10513,0,0,0,A,Calumet Park village,Illinois,7835,7831,7852,7875,7896,7909,7893,7845,7787
9973,157,17,31,14000,0,0,0,A,Chicago city (pt.),Illinois,2695598,2695620,2697736,2705404,2714120,2718887,2718530,2713596,2704958
9974,157,17,31,14026,0,0,0,A,Chicago Heights city,Illinois,30276,30367,30386,30438,30483,30509,30441,30254,30026
9975,157,17,31,14065,0,0,0,A,Chicago Ridge village,Illinois,14305,14304,14318,14378,14411,14431,14410,14332,14236
9976,157,17,31,14351,0,0,0,A,Cicero town,Illinois,83891,84241,84284,84389,84471,84469,84234,83669,82992
9977,157,17,31,16691,0,0,0,A,Country Club Hills city,Illinois,16541,16544,16558,16603,16837,16862,16839,16750,16637
9978,157,17,31,16873,0,0,0,A,Countryside city,Illinois,5895,5882,5925,5942,5954,5963,5999,5972,5947
9979,157,17,31,17497,0,0,0,A,Crestwood village,Illinois,10950,10951,10959,10987,11012,11027,11015,10958,10891
9980,157,17,31,17523,0,0,0,A,Crete village (pt.),Illinois,0,0,0,0,0,0,0,0,0
9981,157,17,31,18992,0,0,0,A,Deerfield village (pt.),Illinois,172,172,172,173,173,174,175,179,178
9982,157,17,31,19083,0,0,0,A,Deer Park village (pt.),Illinois,17,19,19,19,19,19,19,23,23
9983,157,17,31,19642,0,0,0,A,Des Plaines city,Illinois,58364,58385,58454,58654,58842,58931,58884,58547,58141
