,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
45059,157,34,5,5740,0,0,0,A,Beverly city,New Jersey,2577,2551,2553,2550,2559,2546,2541,2528,2513
45060,157,34,5,6670,0,0,0,A,Bordentown city,New Jersey,3924,3917,3922,3914,3918,3898,3893,3868,3851
45061,157,34,5,8920,0,0,0,A,Burlington city,New Jersey,9920,9932,9938,9920,9919,9877,9847,9801,9866
45062,157,34,5,23250,0,0,0,A,Fieldsboro borough,New Jersey,540,545,543,542,540,537,538,536,533
45063,157,34,5,45210,0,0,0,A,Medford Lakes borough,New Jersey,4146,4142,4145,4136,4134,4113,4095,4074,4053
45064,157,34,5,55800,0,0,0,A,Palmyra borough,New Jersey,7398,7381,7386,7379,7371,7332,7321,7283,7241
45065,157,34,5,57480,0,0,0,A,Pemberton borough,New Jersey,1409,1401,1402,1396,1389,1382,1380,1373,1362
45066,157,34,5,63660,0,0,0,A,Riverton borough,New Jersey,2779,2764,2766,2759,2762,2749,2742,2728,2713
45067,157,34,5,82960,0,0,0,A,Wrightstown borough,New Jersey,802,804,805,804,803,802,800,796,787
45068,157,34,5,99990,0,0,0,F,Balance of Burlington County,New Jersey,415239,415301,415778,417155,417831,416703,417897,416688,416365
