,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
49668,71,36,119,10341,18410,0,1,A,Buchanan village,New York,2230,2224,2226,2238,2242,2255,2258,2261,2265
49669,71,36,119,19213,18410,0,1,A,Croton-on-Hudson village,New York,8070,8070,8079,8131,8143,8198,8213,8234,8243
49670,71,36,119,99990,18410,0,1,F,Balance of Cortlandt town,New York,31292,31298,31356,31575,31899,32078,32140,32235,32313
49672,71,36,119,8532,21820,0,1,A,Bronxville village,New York,6323,6323,6329,6362,6369,6401,6407,6415,6407
49673,71,36,119,75583,21820,0,1,A,Tuckahoe village,New York,6486,6485,6493,6531,6549,6587,6610,6619,6615
49674,71,36,119,99990,21820,0,1,S,Balance of Eastchester town,New York,19554,19555,19580,19704,19738,19878,19953,19979,19984
49676,71,36,119,2506,30367,0,1,A,Ardsley village,New York,4452,4454,4462,4496,4509,4540,4548,4620,4634
49677,71,36,119,20698,30367,0,1,A,Dobbs Ferry village,New York,10875,10875,10889,10950,10977,11043,11076,11093,11093
49678,71,36,119,24295,30367,0,1,A,Elmsford village,New York,4664,4660,4669,4701,4737,4750,4763,4788,5012
49679,71,36,119,32710,30367,0,1,A,Hastings-on-Hudson village,New York,7849,7849,7864,7900,7901,7961,7977,7975,7969
49680,71,36,119,37803,30367,0,1,A,Irvington village,New York,6420,6420,6429,6472,6501,6546,6567,6583,6587
49681,71,36,119,73176,30367,0,1,A,Tarrytown village,New York,11277,11248,11266,11339,11375,11444,11485,11518,11532
49682,71,36,119,99990,30367,0,1,F,Balance of Greenburgh town,New York,42863,42890,42950,43334,44310,44629,44772,45102,45489
49684,71,36,119,32402,32413,0,1,A,Harrison village,New York,27472,27471,27515,27671,27805,27952,28145,28259,28340
49687,71,36,119,41333,44842,0,1,A,Larchmont village,New York,5864,5864,5870,5899,5910,5949,6096,6107,6118
49688,71,36,119,44831,44842,0,1,A,Mamaroneck village (pt.),New York,11315,11315,11330,11398,11418,11490,11511,11543,11574
49689,71,36,119,99990,44842,0,1,F,Balance of Mamaroneck town,New York,11977,11977,11992,12067,12098,12170,12185,12197,12186
49691,71,36,119,48890,48895,0,1,A,Mount Kisco village,New York,10877,10877,10892,10960,10985,11060,11081,11104,11103
49693,71,36,119,8103,49011,0,1,A,Briarcliff Manor village (pt.),New York,659,659,660,666,668,677,679,682,683
49694,71,36,119,58728,49011,0,1,A,Pleasantville village,New York,7019,7007,7017,7065,7077,7122,7139,7148,7150
49695,71,36,119,67638,49011,0,1,A,Sleepy Hollow village,New York,9870,9870,9884,9945,9960,10016,10190,10202,10198
49696,71,36,119,99990,49011,0,1,F,Balance of Mount Pleasant town,New York,26176,26191,26238,26512,26605,26599,26622,26541,26525
49698,71,36,119,49121,49121,0,1,A,Mount Vernon city,New York,67292,67290,67376,67758,67871,68224,68302,68388,68344
49701,71,36,119,50617,50617,0,1,A,New Rochelle city,New York,77062,77061,77184,77697,78358,79383,79469,79570,79557
49705,71,36,119,8103,55541,0,1,A,Briarcliff Manor village (pt.),New York,7208,7177,7180,7248,7250,7261,7299,7338,7349
49706,71,36,119,55530,55541,0,1,A,Ossining village,New York,25060,25069,25068,25239,25188,25261,25328,25369,25360
49707,71,36,119,99990,55541,0,1,F,Balance of Ossining town,New York,5406,5428,5437,5475,5497,5529,5541,5581,5594
49709,71,36,119,56979,56979,0,1,A,Peekskill city,New York,23583,23583,23617,23763,23812,23969,24009,24045,24053
49711,71,36,119,57001,57012,0,1,A,Pelham village,New York,6910,6910,6917,6955,6964,7001,7011,7022,7020
49712,71,36,119,57023,57012,0,1,A,Pelham Manor village,New York,5486,5486,5493,5529,5535,5565,5571,5573,5565
49715,71,36,119,64309,64309,0,1,A,Rye city,New York,15720,15720,15739,15830,15856,15947,15970,15990,15980
49717,71,36,119,44831,64320,0,1,A,Mamaroneck village (pt.),New York,7614,7615,7624,7668,7683,7734,7747,7763,7782
49718,71,36,119,59223,64320,0,1,A,Port Chester village,New York,28967,28946,28980,29157,29207,29380,29443,29503,29524
49719,71,36,119,64325,64320,0,1,A,Rye Brook village,New York,9347,9347,9378,9419,9443,9493,9519,9558,9575
49721,71,36,119,65431,65442,0,1,A,Scarsdale village,New York,17166,17166,17195,17342,17455,17596,17694,17819,17909
49724,71,36,119,81677,81677,0,1,A,White Plains city,New York,56853,56853,56942,57227,57338,57812,57920,58248,58241
49726,71,36,119,84000,84000,0,1,A,Yonkers city,New York,195976,195979,196386,197720,198290,199266,199932,200367,200807
