GEOID,state_new
05000US01001,DX
05000US01003,DX
05000US01005,DX
05000US01007,DX
05000US01009,BN
05000US01011,DX
05000US01013,DX
05000US01015,BN
05000US01017,DX
05000US01019,BN
05000US01021,DX
05000US01023,DX
05000US01025,DX
05000US01027,DX
05000US01029,BN
05000US01031,DX
05000US01033,BN
05000US01035,DX
05000US01037,DX
05000US01039,DX
05000US01041,DX
05000US01043,BN
05000US01045,DX
05000US01047,DX
05000US01049,BN
05000US01051,DX
05000US01053,DX
05000US01055,BN
05000US01057,BN
05000US01059,BN
05000US01061,DX
05000US01063,DX
05000US01065,DX
05000US01067,DX
05000US01069,DX
05000US01071,BN
05000US01073,BN
05000US01075,BN
05000US01077,BN
05000US01079,BN
05000US01081,DX
05000US01083,BN
05000US01085,DX
05000US01087,DX
05000US01089,BN
05000US01091,DX
05000US01093,BN
05000US01095,BN
05000US01097,DX
05000US01099,DX
05000US01101,DX
05000US01103,BN
05000US01105,DX
05000US01107,DX
05000US01109,DX
05000US01111,DX
05000US01113,DX
05000US01115,BN
05000US01117,DX
05000US01119,DX
05000US01121,DX
05000US01123,DX
05000US01125,DX
05000US01127,BN
05000US01129,DX
05000US01131,DX
05000US01133,SY
05000US02013,SY
05000US02016,SY
05000US02020,SY
05000US02050,SY
05000US02060,SY
05000US02068,SY
05000US02070,SY
05000US02090,SY
05000US02100,SY
05000US02105,SY
05000US02110,SY
05000US02122,SY
05000US02130,SY
05000US02150,SY
05000US02158,SY
05000US02164,SY
05000US02170,SY
05000US02180,SY
05000US02185,SY
05000US02188,SY
05000US02195,SY
05000US02198,SY
05000US02220,SY
05000US02230,SY
05000US02240,SY
05000US02261,SY
05000US02275,SY
05000US02282,SY
05000US02290,SY
05000US04001,DS
05000US04003,DS
05000US04005,DS
05000US04007,SV
05000US04009,SV
05000US04011,SV
05000US04012,HG
05000US04013,SV
05000US04015,SV
05000US04017,DS
05000US04019,SV
05000US04021,SV
05000US04023,SV
05000US04025,SV
05000US04027,SV
05000US05001,BR
05000US05003,BR
05000US05005,OZ
05000US05007,RR
05000US05009,OZ
05000US05011,OZ
05000US05013,OZ
05000US05015,OZ
05000US05017,BR
05000US05019,OZ
05000US05021,BR
05000US05023,OZ
05000US05025,OZ
05000US05027,OZ
05000US05029,OZ
05000US05031,BR
05000US05033,RR
05000US05035,BR
05000US05037,BR
05000US05039,OZ
05000US05041,BR
05000US05043,BR
05000US05045,OZ
05000US05047,RR
05000US05049,OZ
05000US05051,OZ
05000US05053,OZ
05000US05055,BR
05000US05057,OZ
05000US05059,OZ
05000US05061,OZ
05000US05063,OZ
05000US05065,OZ
05000US05067,OZ
05000US05069,OZ
05000US05071,RR
05000US05073,OZ
05000US05075,OZ
05000US05077,BR
05000US05079,OZ
05000US05081,RR
05000US05083,RR
05000US05085,OZ
05000US05087,RR
05000US05089,OZ
05000US05091,RR
05000US05093,BR
05000US05095,BR
05000US05097,OZ
05000US05099,OZ
05000US05101,OZ
05000US05103,OZ
05000US05105,OZ
05000US05107,BR
05000US05109,OZ
05000US05111,BR
05000US05113,RR
05000US05115,OZ
05000US05117,OZ
05000US05119,OZ
05000US05121,OZ
05000US05123,BR
05000US05125,OZ
05000US05127,RR
05000US05129,OZ
05000US05131,RR
05000US05133,RR
05000US05135,OZ
05000US05137,OZ
05000US05139,OZ
05000US05141,OZ
05000US05143,RR
05000US05145,OZ
05000US05147,OZ
05000US05149,OZ
05000US06001,GC
05000US06003,DS
05000US06005,DS
05000US06007,SI
05000US06009,DS
05000US06011,SI
05000US06013,CC
05000US06015,SI
05000US06017,SI
05000US06019,CC
05000US06021,SI
05000US06023,SI
05000US06025,HG
05000US06027,CC
05000US06029,SO
05000US06031,SO
05000US06033,SI
05000US06035,DS
05000US06037,XXXXX
05000US06039,CC
05000US06041,GC
05000US06043,CC
05000US06045,SI
05000US06047,CC
05000US06049,DS
05000US06051,DS
05000US06053,GC
05000US06055,CC
05000US06057,SI
05000US06059,XXXXX
05000US06061,SI
05000US06063,DS
05000US06065,HG
05000US06067,CC
05000US06069,CC
05000US06071,XXXXX
05000US06073,CE
05000US06075,GC
05000US06077,CC
05000US06079,GC
05000US06081,GC
05000US06083,SO
05000US06085,GC
05000US06087,GC
05000US06089,DS
05000US06091,SI
05000US06093,SI
05000US06095,CC
05000US06097,SI
05000US06099,CC
05000US06101,SI
05000US06103,SI
05000US06105,SI
05000US06107,CC
05000US06109,DS
05000US06111,SO
05000US06113,SI
05000US06115,SI
05000US08001,CD
05000US08003,DS
05000US08005,CD
05000US08007,DS
05000US08009,SF
05000US08011,SF
05000US08013,CD
05000US08014,CD
05000US08015,DS
05000US08017,SF
05000US08019,CD
05000US08021,DS
05000US08023,CD
05000US08025,SF
05000US08027,CD
05000US08029,DS
05000US08031,CD
05000US08033,DS
05000US08035,CD
05000US08037,DS
05000US08039,CD
05000US08041,CD
05000US08043,CD
05000US08045,DS
05000US08047,CD
05000US08049,DS
05000US08051,DS
05000US08053,DS
05000US08055,CD
05000US08057,DS
05000US08059,CD
05000US08061,SF
05000US08063,SF
05000US08065,DS
05000US08067,DS
05000US08069,CD
05000US08071,CD
05000US08073,SF
05000US08075,SY
05000US08077,DS
05000US08079,DS
05000US08081,DS
05000US08083,DS
05000US08085,DS
05000US08087,SF
05000US08089,CD
05000US08091,DS
05000US08093,CD
05000US08095,SY
05000US08097,DS
05000US08099,SF
05000US08101,CD
05000US08103,DS
05000US08105,DS
05000US08107,DS
05000US08109,DS
05000US08111,DS
05000US08113,DS
05000US08115,SY
05000US08117,DS
05000US08119,CD
05000US08121,SF
05000US08123,SF
05000US08125,SF
05000US09001,HV
05000US09003,NN
05000US09005,NN
05000US09007,NN
05000US09009,HV
05000US09011,NN
05000US09013,NN
05000US09015,NN
05000US10001,MX
05000US10003,PD
05000US10005,MX
05000US11001,FE
05000US12001,FC
05000US12003,MG
05000US12005,DX
05000US12007,MG
05000US12009,FC
05000US12011,LF
05000US12013,DX
05000US12015,SU
05000US12017,SU
05000US12019,FC
05000US12021,SU
05000US12023,MG
05000US12027,SU
05000US12029,DX
05000US12031,FC
05000US12033,DX
05000US12035,FC
05000US12037,DX
05000US12039,DX
05000US12041,DX
05000US12043,LF
05000US12045,DX
05000US12047,MG
05000US12049,SU
05000US12051,SU
05000US12053,SU
05000US12055,LF
05000US12057,SU
05000US12059,DX
05000US12061,FC
05000US12063,DX
05000US12065,DX
05000US12067,DX
05000US12069,SU
05000US12071,SU
05000US12073,DX
05000US12075,DX
05000US12077,DX
05000US12079,DX
05000US12081,SU
05000US12083,FC
05000US12085,LF
05000US12086,LF
05000US12087,LF
05000US12089,FC
05000US12091,DX
05000US12093,LF
05000US12095,FC
05000US12097,FC
05000US12099,LF
05000US12101,SU
05000US12103,SU
05000US12105,SU
05000US12107,FC
05000US12109,FC
05000US12111,FC
05000US12113,DX
05000US12115,SU
05000US12117,FC
05000US12119,SU
05000US12121,DX
05000US12123,DX
05000US12125,MG
05000US12127,FC
05000US12129,DX
05000US12131,DX
05000US12133,DX
05000US13001,MG
05000US13003,MG
05000US13005,MG
05000US13007,DX
05000US13009,MG
05000US13011,PT
05000US13013,PT
05000US13015,PT
05000US13017,MG
05000US13019,MG
05000US13021,MG
05000US13023,MG
05000US13025,MG
05000US13027,DX
05000US13029,FC
05000US13031,MG
05000US13033,MG
05000US13035,PT
05000US13037,DX
05000US13039,FC
05000US13043,MG
05000US13045,PT
05000US13047,AP
05000US13049,FC
05000US13051,FC
05000US13053,DX
05000US13055,MG
05000US13057,PT
05000US13059,PT
05000US13061,DX
05000US13063,PT
05000US13065,MG
05000US13067,PT
05000US13069,MG
05000US13071,DX
05000US13073,MG
05000US13075,MG
05000US13077,PT
05000US13079,MG
05000US13081,DX
05000US13083,AP
05000US13085,PT
05000US13087,DX
05000US13089,PT
05000US13091,MG
05000US13093,DX
05000US13095,DX
05000US13097,PT
05000US13099,DX
05000US13101,MG
05000US13103,DX
05000US13105,MG
05000US13107,MG
05000US13109,MG
05000US13111,PT
05000US13113,PT
05000US13115,MG
05000US13117,PT
05000US13119,MG
05000US13121,PT
05000US13123,PT
05000US13125,MG
05000US13127,FC
05000US13129,PT
05000US13131,DX
05000US13133,MG
05000US13135,PT
05000US13137,AP
05000US13139,PT
05000US13141,MG
05000US13143,MG
05000US13145,DX
05000US13147,MG
05000US13149,DX
05000US13151,PT
05000US13153,MG
05000US13155,MG
05000US13157,PT
05000US13159,MG
05000US13161,DX
05000US13163,MG
05000US13165,MG
05000US13167,MG
05000US13169,MG
05000US13171,MG
05000US13173,MG
05000US13175,MG
05000US13177,DX
05000US13179,FC
05000US13181,MG
05000US13183,MG
05000US13185,DX
05000US13187,PT
05000US13189,MG
05000US13191,FC
05000US13193,DX
05000US13195,MG
05000US13197,DX
05000US13199,DX
05000US13201,DX
05000US13205,DX
05000US13207,MG
05000US13209,MG
05000US13211,PT
05000US13213,PT
05000US13215,DX
05000US13217,PT
05000US13219,PT
05000US13221,MG
05000US13223,PT
05000US13225,MG
05000US13227,PT
05000US13229,MG
05000US13231,MG
05000US13233,MG
05000US13235,MG
05000US13237,MG
05000US13239,DX
05000US13241,AP
05000US13243,DX
05000US13245,MG
05000US13247,PT
05000US13249,DX
05000US13251,MG
05000US13253,DX
05000US13255,PT
05000US13257,MG
05000US13259,DX
05000US13261,DX
05000US13263,DX
05000US13265,MG
05000US13267,MG
05000US13269,DX
05000US13271,MG
05000US13273,DX
05000US13275,DX
05000US13277,DX
05000US13279,MG
05000US13281,AP
05000US13283,MG
05000US13285,DX
05000US13287,MG
05000US13289,MG
05000US13291,PT
05000US13293,DX
05000US13295,AP
05000US13297,PT
05000US13299,MG
05000US13301,MG
05000US13303,MG
05000US13305,MG
05000US13307,DX
05000US13309,MG
05000US13311,PT
05000US13313,PT
05000US13315,MG
05000US13317,MG
05000US13319,MG
05000US13321,DX
05000US15001,PF
05000US15003,PF
05000US15005,PF
05000US15007,PF
05000US15009,PF
05000US16001,SY
05000US16003,SY
05000US16005,DS
05000US16007,DS
05000US16009,SY
05000US16011,SY
05000US16013,SY
05000US16015,SY
05000US16017,SY
05000US16019,SY
