GEOID,Name,state_new,,,,,
05000US01001,"Autauga County, Alabama",DX,,,,,
05000US01003,"Baldwin County, Alabama",DX,,,,,
05000US01005,"Barbour County, Alabama",DX,,,,,
05000US01007,"Bibb County, Alabama",DX,,,,,
05000US01009,"Blount County, Alabama",BN,,,,,
05000US01011,"Bullock County, Alabama",DX,,,,,
05000US01013,"Butler County, Alabama",DX,,,,,
05000US01015,"Calhoun County, Alabama",BN,,,,,
05000US01017,"Chambers County, Alabama",DX,,,,,
05000US01019,"Cherokee County, Alabama",BN,,,,,
05000US01021,"Chilton County, Alabama",DX,,,,,
05000US01023,"Choctaw County, Alabama",DX,,,,,
05000US01025,"Clarke County, Alabama",DX,,,,,
05000US01027,"Clay County, Alabama",DX,,,,,
05000US01029,"Cleburne County, Alabama",BN,,,,,
05000US01031,"Coffee County, Alabama",DX,,,,,
05000US01033,"Colbert County, Alabama",BN,,,,,
05000US01035,"Conecuh County, Alabama",DX,,,,,
05000US01037,"Coosa County, Alabama",DX,,,,,
05000US01039,"Covington County, Alabama",DX,,,,,
05000US01041,"Crenshaw County, Alabama",DX,,,,,
05000US01043,"Cullman County, Alabama",BN,,,,,
05000US01045,"Dale County, Alabama",DX,,,,,
05000US01047,"Dallas County, Alabama",DX,,,,,
05000US01049,"DeKalb County, Alabama",BN,,,,,
05000US01051,"Elmore County, Alabama",DX,,,,,
05000US01053,"Escambia County, Alabama",DX,,,,,
05000US01055,"Etowah County, Alabama",BN,,,,,
05000US01057,"Fayette County, Alabama",BN,,,,,
05000US01059,"Franklin County, Alabama",BN,,,,,
05000US01061,"Geneva County, Alabama",DX,,,,,
05000US01063,"Greene County, Alabama",DX,,,,,
05000US01065,"Hale County, Alabama",DX,,,,,
05000US01067,"Henry County, Alabama",DX,,,,,
05000US01069,"Houston County, Alabama",DX,,,,,
05000US01071,"Jackson County, Alabama",BN,,,,,
05000US01073,"Jefferson County, Alabama",BN,,,,,
05000US01075,"Lamar County, Alabama",BN,,,,,
05000US01077,"Lauderdale County, Alabama",BN,,,,,
05000US01079,"Lawrence County, Alabama",BN,,,,,
05000US01081,"Lee County, Alabama",DX,,,,,
05000US01083,"Limestone County, Alabama",BN,,,,,
05000US01085,"Lowndes County, Alabama",DX,,,,,
05000US01087,"Macon County, Alabama",DX,,,,,
05000US01089,"Madison County, Alabama",BN,,,,,
05000US01091,"Marengo County, Alabama",DX,,,,,
05000US01093,"Marion County, Alabama",BN,,,,,
05000US01095,"Marshall County, Alabama",BN,,,,,
05000US01097,"Mobile County, Alabama",DX,,,,,
05000US01099,"Monroe County, Alabama",DX,,,,,
05000US01101,"Montgomery County, Alabama",DX,,,,,
